id,created_at,author_id,text,referenced_tweets.retweeted.id,public_metrics.like_count
1456461707329613861,2021-11-05T03:21:45.000Z,35380634,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456461649351626752,2021-11-05T03:21:31.000Z,71151452,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456460582954152023,2021-11-05T03:17:17.000Z,764858387431432193,God got drunk one day and decided to make the platypus,,2
1456459996384796680,2021-11-05T03:14:57.000Z,1415638361587392514,@bubeidou Are you in a perry the platypus costume?,,0
1456459812070379521,2021-11-05T03:14:13.000Z,2383091512,God: you lay eggs.\n\nPlatypus: like a reptile?\n\nGod: yes but you aren’t a reptile.\n\nPlatypus: oh.\n\nGod: and you’re venomous. \n\nPlatypus: [happy gasp] like a reptile?\n\nGod: you aren’t a reptile.\n\nPlatypus: ok I understand.\n\nGod: you do?\n\nPlatypus: I have a reptile dysfunction : (,1456285849352609797,659
1456459656520368135,2021-11-05T03:13:36.000Z,1065459096525123585,You find a platypus. You are confused by it.  You name it Nash.,,0
1456459338323800064,2021-11-05T03:12:20.000Z,323373646,Rick looks like Perry the Platypus #TheBachelorette #TheBacheloretteABC https://t.co/AOQOKC82US,,0
1456458848424898581,2021-11-05T03:10:23.000Z,3092453777,@Malk_Platypus tendi,,1
1456458813544943619,2021-11-05T03:10:15.000Z,2553544728,@samaneh_rasoul @opensea big perry platypus vibes 😄,,0
1456458241941123109,2021-11-05T03:07:59.000Z,3092453777,@Malk_Platypus mas o lugarzinho pra sentar fica de fora na calçada igual os outros?,,0
1456457772925480965,2021-11-05T03:06:07.000Z,1454533145017999361,Seeing offers for FG platypus\n\nLF: dodos/trexes\n\nNO underpays\n\nDONT offer if ull not do it or u wont do it soon\n\n#AMTrading #adoptmetrading #adoptmetrades #Adoptmetrade #adoptmeoffers #adoptme #adoptmeoffering #adoptmeoffer #adoptmegiveaway,1456454072446304261,0
1456456987302977551,2021-11-05T03:03:00.000Z,27984343,Wrote up a bunch of David Kilgour-related reissue goodness for @aquadrunkard. You need it all. https://t.co/PoOHxIu5UY https://t.co/mqnHXLKsCz,1456290504740536323,55
