"VERB"	"DECADE"	"verbs"	"nouns"	"freq"	"skewedness"
"1486"	"STRUGGLE"	1860	30.31	84.96	115.27	-54.65
"1487"	"STRUGGLE"	1870	26.33	85.01	111.34	-58.68
"1488"	"STRUGGLE"	1880	23.43	73.06	96.49	-49.63
"1489"	"STRUGGLE"	1890	23.75	76.99	100.74	-53.24
"1490"	"STRUGGLE"	1900	25.46	74.26	99.72	-48.8
"1491"	"STRUGGLE"	1910	27.01	74.42	101.43	-47.41
"1492"	"STRUGGLE"	1920	25.28	59.14	84.42	-33.86
"1493"	"STRUGGLE"	1930	23.72	51.94	75.66	-28.22
"1494"	"STRUGGLE"	1940	22.12	53.01	75.13	-30.89
"1495"	"STRUGGLE"	1950	19.59	49.18	68.77	-29.59
"1496"	"STRUGGLE"	1960	23.24	52.62	75.86	-29.38
"1497"	"STRUGGLE"	1970	24.15	46.74	70.89	-22.59
"1498"	"STRUGGLE"	1980	33.52	52.39	85.91	-18.87
"1499"	"STRUGGLE"	1990	32.64	38.81	71.45	-6.17
"1500"	"STRUGGLE"	2000	44	36.47	80.47	7.53
"1501"	"SUPPLY"	1860	78.07	57.46	135.53	20.61
"1502"	"SUPPLY"	1870	67.28	59.59	126.87	7.69
"1503"	"SUPPLY"	1880	58.59	54.23	112.82	4.36
"1504"	"SUPPLY"	1890	57.17	58.49	115.66	-1.32
"1505"	"SUPPLY"	1900	61.93	62.46	124.39	-0.53
"1506"	"SUPPLY"	1910	62.81	80.64	143.45	-17.83
"1507"	"SUPPLY"	1920	62.34	84.58	146.92	-22.24
"1508"	"SUPPLY"	1930	57.18	86.14	143.32	-28.96
"1509"	"SUPPLY"	1940	76	149.39	225.39	-73.39
"1510"	"SUPPLY"	1950	58.65	81.85	140.5	-23.2
"1511"	"SUPPLY"	1960	56.08	84.46	140.54	-28.38
"1512"	"SUPPLY"	1970	46.49	82.5	128.99	-36.01
"1513"	"SUPPLY"	1980	41.15	68.67	109.82	-27.52
"1514"	"SUPPLY"	1990	31.14	50.61	81.75	-19.47
"1515"	"SUPPLY"	2000	29.27	52.31	81.58	-23.04
"1516"	"SUPPORT"	1860	73.75	57.46	131.21	16.29
"1517"	"SUPPORT"	1870	65.66	54.97	120.63	10.69
"1518"	"SUPPORT"	1880	67.36	56.2	123.56	11.16
"1519"	"SUPPORT"	1890	65.66	57.07	122.73	8.59
"1520"	"SUPPORT"	1900	58.38	45.61	103.99	12.77
"1521"	"SUPPORT"	1910	62.99	54.73	117.72	8.26
"1522"	"SUPPORT"	1920	60.43	57.39	117.82	3.04
"1523"	"SUPPORT"	1930	74.96	65.87	140.83	9.09
"1524"	"SUPPORT"	1940	76.58	74.88	151.46	1.7
"1525"	"SUPPORT"	1950	96.77	97.26	194.03	-0.49
"1526"	"SUPPORT"	1960	109.29	108.41	217.7	0.88
"1527"	"SUPPORT"	1970	110.18	110.39	220.57	-0.21
"1528"	"SUPPORT"	1980	106.72	119.15	225.87	-12.43
"1529"	"SUPPORT"	1990	101.41	93.98	195.39	7.43
"1530"	"SUPPORT"	2000	99.15	94.47	193.62	4.68
"1531"	"SURPRISE"	1860	19.27	78.6	97.87	-59.33
"1532"	"SURPRISE"	1870	25.04	88.82	113.86	-63.78
"1533"	"SURPRISE"	1880	21.22	85.81	107.03	-64.59
"1534"	"SURPRISE"	1890	25.11	89.08	114.19	-63.97
"1535"	"SURPRISE"	1900	22.8	88.02	110.82	-65.22
"1536"	"SURPRISE"	1910	22.11	79.63	101.74	-57.52
"1537"	"SURPRISE"	1920	21.26	73.58	94.84	-52.32
"1538"	"SURPRISE"	1930	19.99	65.33	85.32	-45.34
"1539"	"SURPRISE"	1940	18.31	60.84	79.15	-42.53
"1540"	"SURPRISE"	1950	19.67	69.88	89.55	-50.21
"1541"	"SURPRISE"	1960	21.9	66.62	88.52	-44.72
"1542"	"SURPRISE"	1970	21.75	67.06	88.81	-45.31
"1543"	"SURPRISE"	1980	25.46	69.42	94.88	-43.96
"1544"	"SURPRISE"	1990	28.7	66.76	95.46	-38.06
"1545"	"SURPRISE"	2000	28.53	69.17	97.7	-40.64
"1546"	"TALK"	1860	237.95	64.93	302.88	173.02
"1547"	"TALK"	1870	279.9	81.3	361.2	198.6
"1548"	"TALK"	1880	286.98	93.18	380.16	193.8
"1549"	"TALK"	1890	281.78	91.49	373.27	190.29
"1550"	"TALK"	1900	314.4	98.53	412.93	215.87
"1551"	"TALK"	1910	361.11	107.48	468.59	253.63
"1552"	"TALK"	1920	391.22	117.9	509.12	273.32
"1553"	"TALK"	1930	447.09	120.14	567.23	326.95
"1554"	"TALK"	1940	488.39	131.33	619.72	357.06
"1555"	"TALK"	1950	477.78	151.53	629.31	326.25
"1556"	"TALK"	1960	472.17	153.38	625.55	318.79
"1557"	"TALK"	1970	517.89	146.74	664.63	371.15
"1558"	"TALK"	1980	477.22	122.88	600.1	354.34
"1559"	"TALK"	1990	502.59	96.64	599.23	405.95
"1560"	"TALK"	2000	464.26	88.1	552.36	376.16
"1561"	"TASTE"	1860	22.72	91.33	114.05	-68.61
"1562"	"TASTE"	1870	15.37	96.4	111.77	-81.03
"1563"	"TASTE"	1880	19.64	82.12	101.76	-62.48
"1564"	"TASTE"	1890	15.72	77.14	92.86	-61.42
"1565"	"TASTE"	1900	17.39	66.37	83.76	-48.98
"1566"	"TASTE"	1910	14.08	58.31	72.39	-44.23
"1567"	"TASTE"	1920	15.64	53.56	69.2	-37.92
"1568"	"TASTE"	1930	15.11	46.37	61.48	-31.26
"1569"	"TASTE"	1940	17.06	42.04	59.1	-24.98
"1570"	"TASTE"	1950	18.98	50.74	69.72	-31.76
"1571"	"TASTE"	1960	15	44.97	59.97	-29.97
"1572"	"TASTE"	1970	20.53	54.69	75.22	-34.16
"1573"	"TASTE"	1980	25.46	58.06	83.52	-32.6
"1574"	"TASTE"	1990	38.24	55.53	93.77	-17.29
"1575"	"TASTE"	2000	36.84	54.24	91.08	-17.4
"1576"	"TAX"	1860	13.49	48.29	61.78	-34.8
"1577"	"TAX"	1870	19.24	55.78	75.02	-36.54
"1578"	"TAX"	1880	19.59	72.44	92.03	-52.85
"1579"	"TAX"	1890	15.53	50.23	65.76	-34.7
"1580"	"TAX"	1900	11.53	54.7	66.23	-43.17
"1581"	"TAX"	1910	9.84	60.3	70.14	-50.46
"1582"	"TAX"	1920	10.92	113.26	124.18	-102.34
"1583"	"TAX"	1930	15.81	232.87	248.68	-217.06
"1584"	"TAX"	1940	14.33	166.95	181.28	-152.62
"1585"	"TAX"	1950	12.13	203.95	216.08	-191.82
"1586"	"TAX"	1960	10.24	170.93	181.17	-160.69
"1587"	"TAX"	1970	11.23	213.01	224.24	-201.78
"1588"	"TAX"	1980	8.74	168.71	177.45	-159.97
"1589"	"TAX"	1990	8.04	132.69	140.73	-124.65
"1590"	"TAX"	2000	5.9	103.84	109.74	-97.94
"1591"	"TOUCH"	1860	129.93	47.36	177.29	82.57
"1592"	"TOUCH"	1870	126.81	44.17	170.98	82.64
"1593"	"TOUCH"	1880	130.46	52.99	183.45	77.47
"1594"	"TOUCH"	1890	133.5	57.5	191	76
"1595"	"TOUCH"	1900	133.75	63.53	197.28	70.22
"1596"	"TOUCH"	1910	123.77	62.9	186.67	60.87
"1597"	"TOUCH"	1920	116.61	51.42	168.03	65.19
"1598"	"TOUCH"	1930	120.18	42.72	162.9	77.46
"1599"	"TOUCH"	1940	114.35	39.76	154.11	74.59
"1600"	"TOUCH"	1950	126.44	43.32	169.76	83.12
"1601"	"TOUCH"	1960	129.39	44.76	174.15	84.63
"1602"	"TOUCH"	1970	134.37	46.45	180.82	87.92
"1603"	"TOUCH"	1980	136.7	44.88	181.58	91.82
"1604"	"TOUCH"	1990	156.72	47.17	203.89	109.55
"1605"	"TOUCH"	2000	135.25	49.9	185.15	85.35
"1606"	"TRADE"	1860	8.88	86.07	94.95	-77.19
"1607"	"TRADE"	1870	8.54	90.92	99.46	-82.38
"1608"	"TRADE"	1880	10.92	103	113.92	-92.08
"1609"	"TRADE"	1890	11.28	107.63	118.91	-96.35
"1610"	"TRADE"	1900	11.36	119.51	130.87	-108.15
"1611"	"TRADE"	1910	10.46	127.3	137.76	-116.84
"1612"	"TRADE"	1920	15.57	145.21	160.78	-129.64
"1613"	"TRADE"	1930	18.02	185.43	203.45	-167.41
"1614"	"TRADE"	1940	16.28	159.95	176.23	-143.67
"1615"	"TRADE"	1950	18.24	130.75	148.99	-112.51
"1616"	"TRADE"	1960	19.35	137.45	156.8	-118.1
"1617"	"TRADE"	1970	21.25	114.56	135.81	-93.31
"1618"	"TRADE"	1980	36.5	160.01	196.51	-123.51
"1619"	"TRADE"	1990	36.55	107.29	143.84	-70.74
"1620"	"TRADE"	2000	32.7	96	128.7	-63.3
"1621"	"TROUBLE"	1860	44.61	118.66	163.27	-74.05
"1622"	"TROUBLE"	1870	46.64	152.55	199.19	-105.91
"1623"	"TROUBLE"	1880	46.42	153.26	199.68	-106.84
"1624"	"TROUBLE"	1890	41.35	158.99	200.34	-117.64
"1625"	"TROUBLE"	1900	35	163.3	198.3	-128.3
"1626"	"TROUBLE"	1910	31.38	180.44	211.82	-149.06
"1627"	"TROUBLE"	1920	28.25	173.49	201.74	-145.24
"1628"	"TROUBLE"	1930	24.74	163.93	188.67	-139.19
"1629"	"TROUBLE"	1940	22.82	178.88	201.7	-156.06
"1630"	"TROUBLE"	1950	23.08	193.05	216.13	-169.97
"1631"	"TROUBLE"	1960	21.94	197.93	219.87	-175.99
"1632"	"TROUBLE"	1970	19.02	170.6	189.62	-151.58
"1633"	"TROUBLE"	1980	18.9	143.77	162.67	-124.87
"1634"	"TROUBLE"	1990	12.3	120.13	132.43	-107.83
"1635"	"TROUBLE"	2000	12.31	113.1	125.41	-100.79
"1636"	"TRUST"	1860	93.49	40	133.49	53.49
"1637"	"TRUST"	1870	96.61	34.01	130.62	62.6
"1638"	"TRUST"	1880	92.7	48.53	141.23	44.17
"1639"	"TRUST"	1890	74.49	44.8	119.29	29.69
"1640"	"TRUST"	1900	74.22	64.5	138.72	9.72
"1641"	"TRUST"	1910	62.77	52	114.77	10.77
"1642"	"TRUST"	1920	57.97	46.62	104.59	11.35
"1643"	"TRUST"	1930	48.42	41.86	90.28	6.56
"1644"	"TRUST"	1940	46.18	21.99	68.17	24.19
"1645"	"TRUST"	1950	46.15	25.33	71.48	20.82
"1646"	"TRUST"	1960	49.06	22.65	71.71	26.41
"1647"	"TRUST"	1970	54.31	31.68	85.99	22.63
"1648"	"TRUST"	1980	57.95	34.59	92.54	23.36
"1649"	"TRUST"	1990	55.21	31.39	86.6	23.82
"1650"	"TRUST"	2000	58.99	33.31	92.3	25.68
"1651"	"TURN"	1860	512.23	80.35	592.58	431.88
"1652"	"TURN"	1870	588.66	92.91	681.57	495.75
"1653"	"TURN"	1880	562.69	85.18	647.87	477.51
"1654"	"TURN"	1890	594.14	93.61	687.75	500.53
"1655"	"TURN"	1900	664.03	91.92	755.95	572.11
"1656"	"TURN"	1910	721.25	102.1	823.35	619.15
"1657"	"TURN"	1920	693.07	99.05	792.12	594.02
"1658"	"TURN"	1930	747.54	92.12	839.66	655.42
"1659"	"TURN"	1940	799.27	93.52	892.79	705.75
"1660"	"TURN"	1950	766.66	97.1	863.76	669.56
"1661"	"TURN"	1960	752.88	95.37	848.25	657.51
"1662"	"TURN"	1970	757.87	99.25	857.12	658.62
"1663"	"TURN"	1980	735.18	98.46	833.64	636.72
"1664"	"TURN"	1990	791.72	98.83	890.55	692.89
"1665"	"TURN"	2000	809.99	95.15	905.14	714.84
"1666"	"USE"	1860	357.02	209.75	566.77	147.27
"1667"	"USE"	1870	353.3	189.25	542.55	164.05
"1668"	"USE"	1880	403.87	209.46	613.33	194.41
"1669"	"USE"	1890	390.78	192.27	583.05	198.51
"1670"	"USE"	1900	427	217.42	644.42	209.58
"1671"	"USE"	1910	484.52	224.41	708.93	260.11
"1672"	"USE"	1920	480.29	201.31	681.6	278.98
"1673"	"USE"	1930	555.56	194.2	749.76	361.36
"1674"	"USE"	1940	624.7	230.4	855.1	394.3
"1675"	"USE"	1950	636.44	192.51	828.95	443.93
"1676"	"USE"	1960	693.92	194	887.92	499.92
"1677"	"USE"	1970	714.41	189.99	904.4	524.42
"1678"	"USE"	1980	723.94	168.71	892.65	555.23
"1679"	"USE"	1990	838.85	162.75	1001.6	676.1
"1680"	"USE"	2000	818.5	148.68	967.18	669.82
"1681"	"VIEW"	1860	28.15	238.01	266.16	-209.86
"1682"	"VIEW"	1870	31.65	221.33	252.98	-189.68
"1683"	"VIEW"	1880	27.16	205.24	232.4	-178.08
"1684"	"VIEW"	1890	22.94	212.1	235.04	-189.16
"1685"	"VIEW"	1900	27.9	198.61	226.51	-170.71
"1686"	"VIEW"	1910	27.98	193.99	221.97	-166.01
"1687"	"VIEW"	1920	32.5	199.59	232.09	-167.09
"1688"	"VIEW"	1930	25.85	166.67	192.52	-140.82
"1689"	"VIEW"	1940	24.64	141.85	166.49	-117.21
"1690"	"VIEW"	1950	26.15	168.91	195.06	-142.76
"1691"	"VIEW"	1960	31.26	200.6	231.86	-169.34
"1692"	"VIEW"	1970	37.82	192.43	230.25	-154.61
"1693"	"VIEW"	1980	43.09	192.5	235.59	-149.41
"1694"	"VIEW"	1990	51.91	170.6	222.51	-118.69
"1695"	"VIEW"	2000	45.22	162.42	207.64	-117.2
"1696"	"VISIT"	1860	86.48	90.16	176.64	-3.68
"1697"	"VISIT"	1870	77.65	87.32	164.97	-9.67
"1698"	"VISIT"	1880	80.54	89.4	169.94	-8.86
"1699"	"VISIT"	1890	80.58	82.38	162.96	-1.8
"1700"	"VISIT"	1900	62.69	70.58	133.27	-7.89
"1701"	"VISIT"	1910	62.99	67.8	130.79	-4.81
"1702"	"VISIT"	1920	66.44	67.77	134.21	-1.33
"1703"	"VISIT"	1930	58.17	61.97	120.14	-3.8
"1704"	"VISIT"	1940	58.03	56.87	114.9	1.16
"1705"	"VISIT"	1950	65.62	67.46	133.08	-1.84
"1706"	"VISIT"	1960	72.84	70.55	143.39	2.29
"1707"	"VISIT"	1970	85.15	80.31	165.46	4.84
"1708"	"VISIT"	1980	82.17	64.5	146.67	17.67
"1709"	"VISIT"	1990	89.21	59.62	148.83	29.59
"1710"	"VISIT"	2000	102.31	61.67	163.98	40.64
"1711"	"VOICE"	1860	5.66	365.72	371.38	-360.06
"1712"	"VOICE"	1870	3.22	339.92	343.14	-336.7
"1713"	"VOICE"	1880	5.03	325.3	330.33	-320.27
"1714"	"VOICE"	1890	7.22	369.91	377.13	-362.69
"1715"	"VOICE"	1900	10.34	373.45	383.79	-363.11
"1716"	"VOICE"	1910	13.55	399.77	413.32	-386.22
"1717"	"VOICE"	1920	16.97	399.3	416.27	-382.33
"1718"	"VOICE"	1930	16.88	457.62	474.5	-440.74
"1719"	"VOICE"	1940	17.23	449.46	466.69	-432.23
"1720"	"VOICE"	1950	19.22	436.79	456.01	-417.57
"1721"	"VOICE"	1960	16.13	427.83	443.96	-411.7
"1722"	"VOICE"	1970	18.13	382.26	400.39	-364.13
"1723"	"VOICE"	1980	15.21	378.37	393.58	-363.16
"1724"	"VOICE"	1990	14.31	376.79	391.1	-362.48
"1725"	"VOICE"	2000	11.91	378.74	390.65	-366.83
"1726"	"VOTE"	1860	43.8	61.9	105.7	-18.1
"1727"	"VOTE"	1870	43.85	89.04	132.89	-45.19
"1728"	"VOTE"	1880	61.04	102.14	163.18	-41.1
"1729"	"VOTE"	1890	67.65	105.98	173.63	-38.33
"1730"	"VOTE"	1900	52.04	80.74	132.78	-28.7
"1731"	"VOTE"	1910	45.42	72.35	117.77	-26.93
"1732"	"VOTE"	1920	67.45	101.2	168.65	-33.75
"1733"	"VOTE"	1930	74.8	99.74	174.54	-24.94
"1734"	"VOTE"	1940	85.65	120.23	205.88	-34.58
"1735"	"VOTE"	1950	92.63	134.19	226.82	-41.56
"1736"	"VOTE"	1960	86.84	157.26	244.1	-70.42
"1737"	"VOTE"	1970	81.66	120.03	201.69	-38.37
"1738"	"VOTE"	1980	56.67	88.21	144.88	-31.54
"1739"	"VOTE"	1990	43.23	48.32	91.55	-5.09
"1740"	"VOTE"	2000	41.69	53.39	95.08	-11.7
"1741"	"WALK"	1860	221.9	65.11	287.01	156.79
"1742"	"WALK"	1870	269.15	74.74	343.89	194.41
"1743"	"WALK"	1880	238.2	72.01	310.21	166.19
"1744"	"WALK"	1890	234.19	65.38	299.57	168.81
"1745"	"WALK"	1900	229.27	62.42	291.69	166.85
"1746"	"WALK"	1910	246.57	63.03	309.6	183.54
"1747"	"WALK"	1920	256.86	57.19	314.05	199.67
"1748"	"WALK"	1930	347.23	59.48	406.71	287.75
"1749"	"WALK"	1940	358.01	58.07	416.08	299.94
"1750"	"WALK"	1950	366.01	55.09	421.1	310.92
"1751"	"WALK"	1960	370.15	66.91	437.06	303.24
"1752"	"WALK"	1970	378.18	61.26	439.44	316.92
"1753"	"WALK"	1980	371.42	64.7	436.12	306.72
"1754"	"WALK"	1990	452.98	80.78	533.76	372.2
"1755"	"WALK"	2000	415.17	78.94	494.11	336.23
"1756"	"WATCH"	1860	186.39	66.39	252.78	120
"1757"	"WATCH"	1870	189.25	53.52	242.77	135.73
"1758"	"WATCH"	1880	177.74	51.12	228.86	126.62
"1759"	"WATCH"	1890	200.44	57.88	258.32	142.56
"1760"	"WATCH"	1900	224.43	47.96	272.39	176.47
"1761"	"WATCH"	1910	256.36	50.05	306.41	206.31
"1762"	"WATCH"	1920	243.6	44.67	288.27	198.93
"1763"	"WATCH"	1930	286.65	45.55	332.2	241.1
"1764"	"WATCH"	1940	312.99	57.45	370.44	255.54
"1765"	"WATCH"	1950	319.7	50.86	370.56	268.84
"1766"	"WATCH"	1960	325.35	55.54	380.89	269.81
"1767"	"WATCH"	1970	343.09	54.36	397.45	288.73
"1768"	"WATCH"	1980	366.38	51.71	418.09	314.67
"1769"	"WATCH"	1990	439.21	50.79	490	388.42
"1770"	"WATCH"	2000	429.42	56.24	485.66	373.18
"1771"	"WORK"	1860	254.31	594.45	848.76	-340.14
"1772"	"WORK"	1870	328.69	618.91	947.6	-290.22
"1773"	"WORK"	1880	273.18	670.06	943.24	-396.88
"1774"	"WORK"	1890	292.07	684.97	977.04	-392.9
"1775"	"WORK"	1900	338.85	715.27	1054.12	-376.42
"1776"	"WORK"	1910	389.18	685.62	1074.8	-296.44
"1777"	"WORK"	1920	373.9	558.43	932.33	-184.53
"1778"	"WORK"	1930	463.03	549.05	1012.08	-86.02
"1779"	"WORK"	1940	501.36	502.81	1004.17	-1.45
"1780"	"WORK"	1950	534.26	487.66	1021.92	46.6
"1781"	"WORK"	1960	532.68	447.59	980.27	85.09
"1782"	"WORK"	1970	573.13	459.71	1032.84	113.42
"1783"	"WORK"	1980	591.37	481.2	1072.57	110.17
"1784"	"WORK"	1990	673.31	527.53	1200.84	145.78
"1785"	"WORK"	2000	695.64	463.31	1158.95	232.33
