"Decade"	"Amp"	"Adjective"	"N.Amp."	"N.Adj."	"OBS"	"EXP"	"Probability"	"CollStrength"	"OddsRatio"	"p"	"attr"	"sig"
"56"	1870	"pretty"	"nutritious"	"7"	"136"	"0"	"0.2"	0.02	0	0	"1"	"repel"	"n.s."
"57"	1870	"pretty"	"one-sided"	"7"	"40"	"1"	"0"	0.01	1.34	25.16	"0.046113"	"attr"	"n.s."
"58"	1870	"pretty"	"palatable"	"7"	"15"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"59"	1870	"pretty"	"plausible"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"60"	1870	"pretty"	"pleasant"	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"61"	1870	"pretty"	"pleased"	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"62"	1870	"pretty"	"pleasing"	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"63"	1870	"pretty"	"pretty"	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"64"	1870	"pretty"	"prompt"	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"65"	1870	"pretty"	"queer"	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"66"	1870	"pretty"	"rare"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"67"	1870	"pretty"	"readable"	"7"	"10"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"68"	1870	"pretty"	"remarkable"	"7"	"39"	"0"	"0"	0.01	0	0	"1"	"repel"	"n.s."
"69"	1870	"pretty"	"reprehensible"	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"70"	1870	"pretty"	"repulsive"	"7"	"8"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"71"	1870	"pretty"	"respectable"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"72"	1870	"pretty"	"restful"	"7"	"10"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"73"	1870	"pretty"	"reticent"	"7"	"16"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"74"	1870	"pretty"	"sad"	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"75"	1870	"pretty"	"satisfactory"	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
