"x"	"y"	"decade"	"verb"	"freq"
"1"	-0.293799946400862	0.135033211930477	1860	"acknowledge"	12.5835866261398
"2"	-0.38929710177711	0.231820910240491	1860	"admit"	34.3465045592705
"3"	-0.548561082366813	0.311694790372296	1860	"affirm"	8.20668693009119
"4"	0.0154595442640227	-0.681882290253584	1860	"appreciate"	1.51975683890578
"5"	0.0874102752424428	-0.759110248563584	1860	"await"	5.95744680851064
"6"	-0.287201862349404	0.207466035100218	1860	"believe"	178.115501519757
"7"	-0.00163652810323009	-0.463593510236586	1860	"cherish"	0.547112462006079
"8"	0.25480863650597	0.17152183765514	1860	"claim"	22.1276595744681
"9"	-0.464067605775615	0.260841730242107	1860	"concede"	4.25531914893617
"10"	0.0373692522193829	-0.814928607003866	1860	"confirm"	2.49240121580547
"11"	-0.186742971373195	0.0939392856087994	1860	"consider"	24.6808510638298
"12"	0.650519297515127	0.15885850736789	1860	"continue"	66.322188449848
"13"	-0.382807858369812	0.24831887733836	1860	"declare"	56.4133738601824
"14"	-0.173146757174223	-0.194644386878423	1860	"demand"	14.468085106383
"15"	-0.456914207715095	0.149802800074355	1860	"deny"	19.4528875379939
"16"	0.023643862173497	-0.434918073252219	1860	"despise"	0.851063829787234
"17"	0.15769089446833	-0.162620549233253	1860	"disclose"	0.911854103343465
"18"	0.0690984966848047	-0.701362136250721	1860	"discuss"	1.94528875379939
"19"	0.554815477897948	0.156335784242794	1860	"dislike"	2.12765957446809
"20"	-0.468825697389336	0.181562079940362	1860	"doubt"	20.3039513677812
"21"	0.0361439310917846	-0.571055914889477	1860	"enjoy"	7.90273556231003
"22"	0.479963661248546	0.256569572231214	1860	"expect"	97.7507598784195
"23"	-0.162095718455422	0.184531942237056	1860	"fear"	66.2613981762918
"24"	-0.16038732833305	0.0896877901583717	1860	"find"	195.744680851064
"25"	-0.0529338451057048	0.124275028647135	1860	"forget"	47.6595744680851
"26"	0.536153089039353	0.0382441182189947	1860	"hate"	7.47720364741641
"27"	-0.00792001588941921	0.212098119498821	1860	"hope"	159.331306990881
"28"	-0.362682551238813	0.238962014648138	1860	"imagine"	24.3768996960486
"29"	-0.270046335173275	0.146583813439571	1860	"know"	393.009118541034
"30"	0.681649579861407	0.247815935451363	1860	"like"	124.984802431611
"31"	0.428837638048463	-0.0298244729550037	1860	"love"	29.9088145896657
"32"	-0.367983469760666	0.071625169576197	1860	"mention"	8.38905775075988
"33"	0.0190039973409051	-0.664248526744793	1860	"miss"	3.28267477203647
"34"	0.48461016945666	0.0451422595879642	1860	"need"	41.8237082066869
"35"	0.357990794176358	0.123260712229525	1860	"order"	22.6747720364742
"36"	0.498477275823327	0.197919364713393	1860	"prefer"	20.4863221884499
"37"	0.579275684193222	0.272057486409303	1860	"promise"	41.2765957446809
"38"	-0.361269102177366	0.180120397981105	1860	"remember"	63.8297872340426
"39"	0.184211766046257	0.132288162858504	1860	"request"	17.5075987841945
"40"	-0.380830534578434	0.000914427974423847	1860	"suggest"	17.5683890577508
"41"	-0.396745932461724	0.179061939797525	1860	"suspect"	14.2857142857143
"42"	-0.157038066478892	0.109333544082114	1860	"think"	466.626139817629
"43"	0.75568283000052	0.29843334852798	1860	"try"	169.787234042553
"44"	0.618358050388536	0.212110784609527	1860	"want"	197.933130699088
"45"	-0.311166707163382	0.233214854441578	1870	"acknowledge"	10.2717391304348
"46"	-0.411223916123597	0.243570765544788	1870	"admit"	38.8586956521739
"47"	-0.46929607580831	0.309580327635405	1870	"affirm"	8.91304347826087
"48"	-0.0308912507869932	-0.693272083403053	1870	"appreciate"	2.8804347826087
"49"	0.0473408523184692	-0.79562579673547	1870	"await"	6.19565217391304
"50"	-0.291544290821399	0.194595394329895	1870	"believe"	192.717391304348
"51"	-0.225072530499371	-0.242905434549715	1870	"cherish"	0.978260869565218
"52"	0.0717180415874926	0.209355338327009	1870	"claim"	27.1195652173913
"53"	-0.455348754255811	0.297181407360466	1870	"concede"	4.34782608695652
"54"	0.0552889310488692	-0.791148201742046	1870	"confirm"	2.39130434782609
"55"	-0.23289777428877	0.106323103832448	1870	"consider"	26.5217391304348
"56"	0.658493795855178	0.166255448693933	1870	"continue"	59.1847826086957
"57"	-0.394988876186716	0.271520292558531	1870	"declare"	62.554347826087
"58"	-0.174005775462975	-0.154429570730225	1870	"demand"	11.3586956521739
"59"	-0.518020432116348	0.243495443496771	1870	"deny"	19.1304347826087
"60"	0.0551910321215908	-0.481036084113051	1870	"despise"	1.03260869565217
"61"	-0.0303973499478624	-0.659048833312904	1870	"disclose"	0.815217391304348
"62"	-0.0499867366342499	-0.639045225306235	1870	"discuss"	2.17391304347826
"63"	0.599611528558537	0.112263225769738	1870	"dislike"	2.33695652173913
"64"	-0.506207597034128	0.227100988198812	1870	"doubt"	16.4673913043478
"65"	0.0353251630895535	-0.527530946863953	1870	"enjoy"	9.83695652173913
"66"	0.469377177456787	0.254141453736016	1870	"expect"	103.260869565217
"67"	-0.198379773338428	0.187883714566129	1870	"fear"	68.9130434782609
"68"	-0.184619649969346	0.103247178521746	1870	"find"	212.336956521739
"69"	-0.0333962749588937	0.111633366208252	1870	"forget"	45.9239130434783
"70"	0.541945327037119	0.0712895773444464	1870	"hate"	9.1304347826087
"71"	-0.0303623342300272	0.204289882876255	1870	"hope"	155.163043478261
"72"	-0.345711041814276	0.191819803133355	1870	"imagine"	28.3152173913044
"73"	-0.281524423854202	0.147641831818642	1870	"know"	415.434782608696
"74"	0.675831855404673	0.259764697161762	1870	"like"	144.239130434783
