Id	Participant	Group	Item	Response	Gender	Age
211	G211	German_Mono	1	BareNoun	Female	19
212	G212	German_Mono	3	BareNoun	Female	19
213	G213	German_Mono	4	BareNoun	Female	19
214	G214	German_Mono	6	BareNoun	Female	19
215	G215	German_Mono	8	BareNoun	Female	19
216	G216	German_Mono	9	BareNoun	Female	19
217	G217	German_Mono	11	BareNoun	Female	19
218	G218	German_Mono	12	BareNoun	Female	19
219	G219	German_Mono	13	BareNoun	Female	19
220	G220	German_Mono	15	BareNoun	Female	19
221	G221	German_Mono	1	BareNoun	Female	19
222	G222	German_Mono	3	BareNoun	Female	19
223	G223	German_Mono	4	BareNoun	Female	19
224	G224	German_Mono	6	BareNoun	Female	19
225	G225	German_Mono	8	BareNoun	Female	19
226	G226	German_Mono	9	BareNoun	Female	19
227	G227	German_Mono	11	BareNoun	Female	19
228	G228	German_Mono	12	BareNoun	Female	19
229	G229	German_Mono	13	BareNoun	Female	19
230	G230	German_Mono	15	BareNoun	Female	19
231	G231	German_Mono	1	BareNoun	Male	19
232	G232	German_Mono	3	BareNoun	Male	19
233	G233	German_Mono	4	BareNoun	Male	19
234	G234	German_Mono	6	BareNoun	Male	19
235	G235	German_Mono	8	BareNoun	Male	19
236	G236	German_Mono	9	BareNoun	Male	19
237	G237	German_Mono	11	BareNoun	Male	19
238	G238	German_Mono	12	BareNoun	Male	19
239	G239	German_Mono	13	BareNoun	Male	19
240	G240	German_Mono	15	BareNoun	Male	19
241	G241	German_Mono	1	BareNoun	Female	21
242	G242	German_Mono	3	BareNoun	Female	21
243	G243	German_Mono	4	BareNoun	Female	21
245	G245	German_Mono	8	BareNoun	Female	21
246	G246	German_Mono	9	BareNoun	Female	21
247	G247	German_Mono	11	BareNoun	Female	21
248	G248	German_Mono	12	BareNoun	Female	21
249	G249	German_Mono	13	BareNoun	Female	21
250	G250	German_Mono	15	BareNoun	Female	21
251	G251	German_Mono	1	BareNoun	Female	20
253	G253	German_Mono	4	BareNoun	Female	20
255	G255	German_Mono	8	BareNoun	Female	20
256	G256	German_Mono	9	BareNoun	Female	20
257	G257	German_Mono	11	BareNoun	Female	20
258	G258	German_Mono	12	BareNoun	Female	20
259	G259	German_Mono	13	BareNoun	Female	20
261	G261	German_Mono	1	BareNoun	Male	22
262	G262	German_Mono	3	BareNoun	Male	22
263	G263	German_Mono	4	BareNoun	Male	22
264	G264	German_Mono	6	BareNoun	Male	22
265	G265	German_Mono	8	BareNoun	Male	22
266	G266	German_Mono	9	BareNoun	Male	22
267	G267	German_Mono	11	BareNoun	Male	22
269	G269	German_Mono	13	BareNoun	Male	22
270	G270	German_Mono	15	BareNoun	Male	22
271	G271	German_Mono	1	BareNoun	Female	22
272	G272	German_Mono	3	BareNoun	Female	22
273	G273	German_Mono	4	BareNoun	Female	22
275	G275	German_Mono	8	BareNoun	Female	22
276	G276	German_Mono	9	BareNoun	Female	22
277	G277	German_Mono	11	BareNoun	Female	22
278	G278	German_Mono	12	BareNoun	Female	22
279	G279	German_Mono	13	BareNoun	Female	22
280	G280	German_Mono	15	BareNoun	Female	22
281	G281	German_Mono	1	BareNoun	Female	19
285	G285	German_Mono	8	BareNoun	Female	19
286	G286	German_Mono	9	BareNoun	Female	19
287	G287	German_Mono	11	BareNoun	Female	19
288	G288	German_Mono	12	BareNoun	Female	19
289	G289	German_Mono	13	BareNoun	Female	19
290	G290	German_Mono	15	BareNoun	Female	19
291	G291	German_Mono	1	BareNoun	Female	19
292	G292	German_Mono	3	BareNoun	Female	19
293	G293	German_Mono	4	BareNoun	Female	19
294	G294	German_Mono	6	BareNoun	Female	19
295	G295	German_Mono	8	BareNoun	Female	19
296	G296	German_Mono	9	BareNoun	Female	19
297	G297	German_Mono	11	BareNoun	Female	19
298	G298	German_Mono	12	BareNoun	Female	19
299	G299	German_Mono	13	BareNoun	Female	19
300	G300	German_Mono	15	BareNoun	Female	19
301	G301	German_Mono	1	BareNoun	Male	21
303	G303	German_Mono	4	BareNoun	Male	21
304	G304	German_Mono	6	BareNoun	Male	21
305	G305	German_Mono	8	BareNoun	Male	21
306	G306	German_Mono	9	BareNoun	Male	21
307	G307	German_Mono	11	BareNoun	Male	21
308	G308	German_Mono	12	BareNoun	Male	21
309	G309	German_Mono	13	BareNoun	Male	21
310	G310	German_Mono	15	BareNoun	Male	21
311	L001	L2_Intermediate	1	BareNoun	Male	22
312	L002	L2_Intermediate	3	BareNoun	Male	22
313	L003	L2_Intermediate	4	BareNoun	Male	22
314	L004	L2_Intermediate	6	BareNoun	Male	22
316	L006	L2_Intermediate	9	BareNoun	Male	22
317	L007	L2_Intermediate	11	BareNoun	Male	22
318	L008	L2_Intermediate	12	BareNoun	Male	22
319	L009	L2_Intermediate	13	BareNoun	Male	22
324	L014	L2_Intermediate	6	BareNoun	Female	22
327	L017	L2_Intermediate	11	BareNoun	Female	22
329	L019	L2_Intermediate	13	BareNoun	Female	22
331	L021	L2_Intermediate	1	BareNoun	Female	23
334	L024	L2_Intermediate	6	BareNoun	Female	23
336	L026	L2_Intermediate	9	BareNoun	Female	23
337	L027	L2_Intermediate	11	BareNoun	Female	23
339	L029	L2_Intermediate	13	BareNoun	Female	23
344	L034	L2_Intermediate	6	BareNoun	Male	23
347	L037	L2_Intermediate	11	BareNoun	Male	23
354	L044	L2_Intermediate	6	BareNoun	Male	25
356	L046	L2_Intermediate	9	BareNoun	Male	25
364	L054	L2_Intermediate	6	BareNoun	Male	33
366	L056	L2_Intermediate	9	BareNoun	Male	33
374	L064	L2_Intermediate	6	BareNoun	Male	64
376	L066	L2_Intermediate	9	BareNoun	Male	64
387	L077	L2_Intermediate	11	BareNoun	Female	18
394	L084	L2_Intermediate	6	BareNoun	Female	21
396	L086	L2_Intermediate	9	BareNoun	Female	21
397	L087	L2_Intermediate	11	BareNoun	Female	21
404	L094	L2_Intermediate	6	BareNoun	Female	23
405	L095	L2_Intermediate	8	BareNoun	Female	23
406	L096	L2_Intermediate	9	BareNoun	Female	23
407	L097	L2_Intermediate	11	BareNoun	Female	23
414	L104	L2_Intermediate	6	BareNoun	Female	23
416	L106	L2_Intermediate	9	BareNoun	Female	23
417	L107	L2_Intermediate	11	BareNoun	Female	23
418	L108	L2_Intermediate	12	BareNoun	Female	23
427	L117	L2_Intermediate	11	BareNoun	Male	21
434	L124	L2_Intermediate	6	BareNoun	Male	22
437	L127	L2_Intermediate	11	BareNoun	Male	22
438	L128	L2_Intermediate	12	BareNoun	Male	22
447	L137	L2_Intermediate	11	BareNoun	Female	22
451	L141	L2_Intermediate	1	BareNoun	Female	21
452	L142	L2_Intermediate	3	BareNoun	Female	21
453	L143	L2_Intermediate	4	BareNoun	Female	21
454	L144	L2_Intermediate	6	BareNoun	Female	21
455	L145	L2_Intermediate	8	BareNoun	Female	21
456	L146	L2_Intermediate	9	BareNoun	Female	21
457	L147	L2_Intermediate	11	BareNoun	Female	21
458	L148	L2_Intermediate	12	BareNoun	Female	21
459	L149	L2_Intermediate	13	BareNoun	Female	21
460	L150	L2_Intermediate	15	BareNoun	Female	21
467	L157	L2_Intermediate	11	BareNoun	Male	42
470	L160	L2_Intermediate	15	BareNoun	Male	42
474	L164	L2_Intermediate	6	BareNoun	Male	67
475	L165	L2_Intermediate	8	BareNoun	Male	67
477	L167	L2_Intermediate	11	BareNoun	Male	67
480	L170	L2_Intermediate	15	BareNoun	Male	67
481	L171	L2_Intermediate	1	BareNoun	Female	62
484	L174	L2_Intermediate	6	BareNoun	Female	62
486	L176	L2_Intermediate	9	BareNoun	Female	62
494	L184	L2_Intermediate	6	BareNoun	Female	20
496	L186	L2_Intermediate	9	BareNoun	Female	20
504	L194	L2_Intermediate	6	BareNoun	Female	23
511	L201	L2_Intermediate	1	BareNoun	Female	30
512	L202	L2_Intermediate	3	BareNoun	Female	30
513	L203	L2_Intermediate	4	BareNoun	Female	30
514	L204	L2_Intermediate	6	BareNoun	Female	30
515	L205	L2_Intermediate	8	BareNoun	Female	30
516	L206	L2_Intermediate	9	BareNoun	Female	30
517	L207	L2_Intermediate	11	BareNoun	Female	30
518	L208	L2_Intermediate	12	BareNoun	Female	30
519	L209	L2_Intermediate	13	BareNoun	Female	30
527	L217	L2_Advanced	11	BareNoun	Male	48
534	L224	L2_Advanced	6	BareNoun	Female	26
537	L227	L2_Advanced	11	BareNoun	Female	26
547	L237	L2_Advanced	11	BareNoun	Male	76
548	L238	L2_Advanced	12	BareNoun	Male	76
551	L241	L2_Advanced	1	BareNoun	Female	26
553	L243	L2_Advanced	4	BareNoun	Female	26
554	L244	L2_Advanced	6	BareNoun	Female	26
555	L245	L2_Advanced	8	BareNoun	Female	26
556	L246	L2_Advanced	9	BareNoun	Female	26
557	L247	L2_Advanced	11	BareNoun	Female	26
559	L249	L2_Advanced	13	BareNoun	Female	26
560	L250	L2_Advanced	15	BareNoun	Female	26
564	L254	L2_Advanced	6	BareNoun	Male	26
567	L257	L2_Advanced	11	BareNoun	Male	26
569	L259	L2_Advanced	13	BareNoun	Male	26
571	L261	L2_Advanced	1	BareNoun	Female	38
572	L262	L2_Advanced	3	BareNoun	Female	38
574	L264	L2_Advanced	6	BareNoun	Female	38
576	L266	L2_Advanced	9	BareNoun	Female	38
577	L267	L2_Advanced	11	BareNoun	Female	38
604	L294	L2_Advanced	6	BareNoun	Female	65
606	L296	L2_Advanced	9	BareNoun	Female	65
607	L297	L2_Advanced	11	BareNoun	Female	65
614	L304	L2_Advanced	6	BareNoun	Male	40
616	L306	L2_Advanced	9	BareNoun	Male	40
617	L307	L2_Advanced	11	BareNoun	Male	40
627	L317	L2_Advanced	11	BareNoun	Female	24
634	L324	L2_Advanced	6	BareNoun	Female	39
636	L326	L2_Advanced	9	BareNoun	Female	39
637	L327	L2_Advanced	11	BareNoun	Female	39
656	L346	L2_Advanced	9	BareNoun	Female	20
657	L347	L2_Advanced	11	BareNoun	Female	20
666	L356	L2_Advanced	9	BareNoun	Male	23
667	L357	L2_Advanced	11	BareNoun	Male	23
668	L358	L2_Advanced	12	BareNoun	Male	23
686	L376	L2_Advanced	9	BareNoun	Female	44
687	L377	L2_Advanced	11	BareNoun	Female	44
688	L378	L2_Advanced	12	BareNoun	Female	44
704	L394	L2_Advanced	6	BareNoun	Female	41
706	L396	L2_Advanced	9	BareNoun	Female	41
707	L397	L2_Advanced	11	BareNoun	Female	41
713	L403	L2_Advanced	4	BareNoun	Male	28
717	L407	L2_Advanced	11	BareNoun	Male	28
726	L416	L2_Advanced	9	BareNoun	Male	25
727	L417	L2_Advanced	11	BareNoun	Male	25
734	L424	L2_Advanced	6	BareNoun	Male	22
737	L427	L2_Advanced	11	BareNoun	Male	22
744	L434	L2_Advanced	6	BareNoun	Female	50
747	L437	L2_Advanced	11	BareNoun	Female	50
761	L451	L2_Advanced	1	BareNoun	Female	41
763	L453	L2_Advanced	4	BareNoun	Female	41
764	L454	L2_Advanced	6	BareNoun	Female	41
765	L455	L2_Advanced	8	BareNoun	Female	41
766	L456	L2_Advanced	9	BareNoun	Female	41
767	L457	L2_Advanced	11	BareNoun	Female	41
768	L458	L2_Advanced	12	BareNoun	Female	41
769	L459	L2_Advanced	13	BareNoun	Female	41
770	L460	L2_Advanced	15	BareNoun	Female	41
774	L464	L2_Advanced	6	BareNoun	Female	56
776	L466	L2_Advanced	9	BareNoun	Female	56
777	L467	L2_Advanced	11	BareNoun	Female	56
