Id	Participant	Group	Item	Response	Gender	Age
463	L153	L2_Intermediate	4	NumeralNoun	Male	42
465	L155	L2_Intermediate	8	NumeralNoun	Male	42
468	L158	L2_Intermediate	12	NumeralNoun	Male	42
469	L159	L2_Intermediate	13	NumeralNoun	Male	42
471	L161	L2_Intermediate	1	NumeralNoun	Male	67
472	L162	L2_Intermediate	3	NumeralNoun	Male	67
473	L163	L2_Intermediate	4	NumeralNoun	Male	67
478	L168	L2_Intermediate	12	NumeralNoun	Male	67
479	L169	L2_Intermediate	13	NumeralNoun	Male	67
482	L172	L2_Intermediate	3	NumeralNoun	Female	62
483	L173	L2_Intermediate	4	NumeralNoun	Female	62
485	L175	L2_Intermediate	8	NumeralNoun	Female	62
487	L177	L2_Intermediate	11	NumeralNoun	Female	62
488	L178	L2_Intermediate	12	NumeralNoun	Female	62
489	L179	L2_Intermediate	13	NumeralNoun	Female	62
490	L180	L2_Intermediate	15	NumeralNoun	Female	62
491	L181	L2_Intermediate	1	NumeralNoun	Female	20
492	L182	L2_Intermediate	3	NumeralNoun	Female	20
493	L183	L2_Intermediate	4	NumeralNoun	Female	20
495	L185	L2_Intermediate	8	NumeralNoun	Female	20
497	L187	L2_Intermediate	11	NumeralNoun	Female	20
498	L188	L2_Intermediate	12	NumeralNoun	Female	20
499	L189	L2_Intermediate	13	NumeralNoun	Female	20
500	L190	L2_Intermediate	15	NumeralNoun	Female	20
501	L191	L2_Intermediate	1	NumeralNoun	Female	23
502	L192	L2_Intermediate	3	NumeralNoun	Female	23
503	L193	L2_Intermediate	4	NumeralNoun	Female	23
505	L195	L2_Intermediate	8	NumeralNoun	Female	23
507	L197	L2_Intermediate	11	NumeralNoun	Female	23
508	L198	L2_Intermediate	12	NumeralNoun	Female	23
509	L199	L2_Intermediate	13	NumeralNoun	Female	23
510	L200	L2_Intermediate	15	NumeralNoun	Female	23
521	L211	L2_Advanced	1	NumeralNoun	Male	48
522	L212	L2_Advanced	3	NumeralNoun	Male	48
523	L213	L2_Advanced	4	NumeralNoun	Male	48
528	L218	L2_Advanced	12	NumeralNoun	Male	48
529	L219	L2_Advanced	13	NumeralNoun	Male	48
530	L220	L2_Advanced	15	NumeralNoun	Male	48
531	L221	L2_Advanced	1	NumeralNoun	Female	26
532	L222	L2_Advanced	3	NumeralNoun	Female	26
533	L223	L2_Advanced	4	NumeralNoun	Female	26
535	L225	L2_Advanced	8	NumeralNoun	Female	26
538	L228	L2_Advanced	12	NumeralNoun	Female	26
539	L229	L2_Advanced	13	NumeralNoun	Female	26
540	L230	L2_Advanced	15	NumeralNoun	Female	26
541	L231	L2_Advanced	1	NumeralNoun	Male	76
542	L232	L2_Advanced	3	NumeralNoun	Male	76
543	L233	L2_Advanced	4	NumeralNoun	Male	76
545	L235	L2_Advanced	8	NumeralNoun	Male	76
549	L239	L2_Advanced	13	NumeralNoun	Male	76
550	L240	L2_Advanced	15	NumeralNoun	Male	76
552	L242	L2_Advanced	3	NumeralNoun	Female	26
558	L248	L2_Advanced	12	NumeralNoun	Female	26
561	L251	L2_Advanced	1	NumeralNoun	Male	26
562	L252	L2_Advanced	3	NumeralNoun	Male	26
563	L253	L2_Advanced	4	NumeralNoun	Male	26
568	L258	L2_Advanced	12	NumeralNoun	Male	26
570	L260	L2_Advanced	15	NumeralNoun	Male	26
573	L263	L2_Advanced	4	NumeralNoun	Female	38
575	L265	L2_Advanced	8	NumeralNoun	Female	38
578	L268	L2_Advanced	12	NumeralNoun	Female	38
579	L269	L2_Advanced	13	NumeralNoun	Female	38
580	L270	L2_Advanced	15	NumeralNoun	Female	38
581	L271	L2_Advanced	1	NumeralNoun	Male	74
582	L272	L2_Advanced	3	NumeralNoun	Male	74
583	L273	L2_Advanced	4	NumeralNoun	Male	74
585	L275	L2_Advanced	8	NumeralNoun	Male	74
587	L277	L2_Advanced	11	NumeralNoun	Male	74
588	L278	L2_Advanced	12	NumeralNoun	Male	74
589	L279	L2_Advanced	13	NumeralNoun	Male	74
590	L280	L2_Advanced	15	NumeralNoun	Male	74
591	L281	L2_Advanced	1	NumeralNoun	Female	20
592	L282	L2_Advanced	3	NumeralNoun	Female	20
593	L283	L2_Advanced	4	NumeralNoun	Female	20
598	L288	L2_Advanced	12	NumeralNoun	Female	20
599	L289	L2_Advanced	13	NumeralNoun	Female	20
601	L291	L2_Advanced	1	NumeralNoun	Female	65
602	L292	L2_Advanced	3	NumeralNoun	Female	65
603	L293	L2_Advanced	4	NumeralNoun	Female	65
608	L298	L2_Advanced	12	NumeralNoun	Female	65
609	L299	L2_Advanced	13	NumeralNoun	Female	65
610	L300	L2_Advanced	15	NumeralNoun	Female	65
611	L301	L2_Advanced	1	NumeralNoun	Male	40
612	L302	L2_Advanced	3	NumeralNoun	Male	40
613	L303	L2_Advanced	4	NumeralNoun	Male	40
615	L305	L2_Advanced	8	NumeralNoun	Male	40
618	L308	L2_Advanced	12	NumeralNoun	Male	40
619	L309	L2_Advanced	13	NumeralNoun	Male	40
620	L310	L2_Advanced	15	NumeralNoun	Male	40
621	L311	L2_Advanced	1	NumeralNoun	Female	24
622	L312	L2_Advanced	3	NumeralNoun	Female	24
623	L313	L2_Advanced	4	NumeralNoun	Female	24
628	L318	L2_Advanced	12	NumeralNoun	Female	24
629	L319	L2_Advanced	13	NumeralNoun	Female	24
630	L320	L2_Advanced	15	NumeralNoun	Female	24
631	L321	L2_Advanced	1	NumeralNoun	Female	39
632	L322	L2_Advanced	3	NumeralNoun	Female	39
633	L323	L2_Advanced	4	NumeralNoun	Female	39
638	L328	L2_Advanced	12	NumeralNoun	Female	39
641	L331	L2_Advanced	1	NumeralNoun	Male	24
642	L332	L2_Advanced	3	NumeralNoun	Male	24
643	L333	L2_Advanced	4	NumeralNoun	Male	24
645	L335	L2_Advanced	8	NumeralNoun	Male	24
648	L338	L2_Advanced	12	NumeralNoun	Male	24
649	L339	L2_Advanced	13	NumeralNoun	Male	24
651	L341	L2_Advanced	1	NumeralNoun	Female	20
652	L342	L2_Advanced	3	NumeralNoun	Female	20
653	L343	L2_Advanced	4	NumeralNoun	Female	20
655	L345	L2_Advanced	8	NumeralNoun	Female	20
658	L348	L2_Advanced	12	NumeralNoun	Female	20
659	L349	L2_Advanced	13	NumeralNoun	Female	20
660	L350	L2_Advanced	15	NumeralNoun	Female	20
661	L351	L2_Advanced	1	NumeralNoun	Male	23
662	L352	L2_Advanced	3	NumeralNoun	Male	23
663	L353	L2_Advanced	4	NumeralNoun	Male	23
669	L359	L2_Advanced	13	NumeralNoun	Male	23
670	L360	L2_Advanced	15	NumeralNoun	Male	23
671	L361	L2_Advanced	1	NumeralNoun	Female	34
672	L362	L2_Advanced	3	NumeralNoun	Female	34
673	L363	L2_Advanced	4	NumeralNoun	Female	34
675	L365	L2_Advanced	8	NumeralNoun	Female	34
677	L367	L2_Advanced	11	NumeralNoun	Female	34
678	L368	L2_Advanced	12	NumeralNoun	Female	34
679	L369	L2_Advanced	13	NumeralNoun	Female	34
680	L370	L2_Advanced	15	NumeralNoun	Female	34
681	L371	L2_Advanced	1	NumeralNoun	Female	44
682	L372	L2_Advanced	3	NumeralNoun	Female	44
683	L373	L2_Advanced	4	NumeralNoun	Female	44
685	L375	L2_Advanced	8	NumeralNoun	Female	44
689	L379	L2_Advanced	13	NumeralNoun	Female	44
690	L380	L2_Advanced	15	NumeralNoun	Female	44
691	L381	L2_Advanced	1	NumeralNoun	Female	27
692	L382	L2_Advanced	3	NumeralNoun	Female	27
693	L383	L2_Advanced	4	NumeralNoun	Female	27
695	L385	L2_Advanced	8	NumeralNoun	Female	27
697	L387	L2_Advanced	11	NumeralNoun	Female	27
698	L388	L2_Advanced	12	NumeralNoun	Female	27
699	L389	L2_Advanced	13	NumeralNoun	Female	27
701	L391	L2_Advanced	1	NumeralNoun	Female	41
702	L392	L2_Advanced	3	NumeralNoun	Female	41
703	L393	L2_Advanced	4	NumeralNoun	Female	41
708	L398	L2_Advanced	12	NumeralNoun	Female	41
709	L399	L2_Advanced	13	NumeralNoun	Female	41
710	L400	L2_Advanced	15	NumeralNoun	Female	41
711	L401	L2_Advanced	1	NumeralNoun	Male	28
712	L402	L2_Advanced	3	NumeralNoun	Male	28
719	L409	L2_Advanced	13	NumeralNoun	Male	28
720	L410	L2_Advanced	15	NumeralNoun	Male	28
721	L411	L2_Advanced	1	NumeralNoun	Male	25
722	L412	L2_Advanced	3	NumeralNoun	Male	25
723	L413	L2_Advanced	4	NumeralNoun	Male	25
725	L415	L2_Advanced	8	NumeralNoun	Male	25
728	L418	L2_Advanced	12	NumeralNoun	Male	25
729	L419	L2_Advanced	13	NumeralNoun	Male	25
730	L420	L2_Advanced	15	NumeralNoun	Male	25
731	L421	L2_Advanced	1	NumeralNoun	Male	22
732	L422	L2_Advanced	3	NumeralNoun	Male	22
733	L423	L2_Advanced	4	NumeralNoun	Male	22
735	L425	L2_Advanced	8	NumeralNoun	Male	22
738	L428	L2_Advanced	12	NumeralNoun	Male	22
739	L429	L2_Advanced	13	NumeralNoun	Male	22
740	L430	L2_Advanced	15	NumeralNoun	Male	22
741	L431	L2_Advanced	1	NumeralNoun	Female	50
742	L432	L2_Advanced	3	NumeralNoun	Female	50
743	L433	L2_Advanced	4	NumeralNoun	Female	50
748	L438	L2_Advanced	12	NumeralNoun	Female	50
749	L439	L2_Advanced	13	NumeralNoun	Female	50
751	L441	L2_Advanced	1	NumeralNoun	Male	72
752	L442	L2_Advanced	3	NumeralNoun	Male	72
753	L443	L2_Advanced	4	NumeralNoun	Male	72
755	L445	L2_Advanced	8	NumeralNoun	Male	72
758	L448	L2_Advanced	12	NumeralNoun	Male	72
759	L449	L2_Advanced	13	NumeralNoun	Male	72
760	L450	L2_Advanced	15	NumeralNoun	Male	72
762	L452	L2_Advanced	3	NumeralNoun	Female	41
771	L461	L2_Advanced	1	NumeralNoun	Female	56
772	L462	L2_Advanced	3	NumeralNoun	Female	56
773	L463	L2_Advanced	4	NumeralNoun	Female	56
775	L465	L2_Advanced	8	NumeralNoun	Female	56
778	L468	L2_Advanced	12	NumeralNoun	Female	56
779	L469	L2_Advanced	13	NumeralNoun	Female	56
780	L470	L2_Advanced	15	NumeralNoun	Female	56
781	L471	L2_Advanced	1	NumeralNoun	Female	44
782	L472	L2_Advanced	3	NumeralNoun	Female	44
783	L473	L2_Advanced	4	NumeralNoun	Female	44
785	L475	L2_Advanced	8	NumeralNoun	Female	44
788	L478	L2_Advanced	12	NumeralNoun	Female	44
790	L480	L2_Advanced	15	NumeralNoun	Female	44
791	L481	L2_Advanced	1	NumeralNoun	Male	18
792	L482	L2_Advanced	3	NumeralNoun	Male	18
793	L483	L2_Advanced	4	NumeralNoun	Male	18
795	L485	L2_Advanced	8	NumeralNoun	Male	18
798	L488	L2_Advanced	12	NumeralNoun	Male	18
799	L489	L2_Advanced	13	NumeralNoun	Male	18
800	L490	L2_Advanced	15	NumeralNoun	Male	18
801	L491	L2_Advanced	1	NumeralNoun	Female	73
802	L492	L2_Advanced	3	NumeralNoun	Female	73
803	L493	L2_Advanced	4	NumeralNoun	Female	73
805	L495	L2_Advanced	8	NumeralNoun	Female	73
807	L497	L2_Advanced	11	NumeralNoun	Female	73
808	L498	L2_Advanced	12	NumeralNoun	Female	73
809	L499	L2_Advanced	13	NumeralNoun	Female	73
810	L500	L2_Advanced	15	NumeralNoun	Female	73
811	L501	L2_Advanced	1	NumeralNoun	Female	50
812	L502	L2_Advanced	3	NumeralNoun	Female	50
813	L503	L2_Advanced	4	NumeralNoun	Female	50
818	L508	L2_Advanced	12	NumeralNoun	Female	50
821	L511	L2_Advanced	1	NumeralNoun	Female	44
822	L512	L2_Advanced	3	NumeralNoun	Female	44
823	L513	L2_Advanced	4	NumeralNoun	Female	44
825	L515	L2_Advanced	8	NumeralNoun	Female	44
828	L518	L2_Advanced	12	NumeralNoun	Female	44
830	L520	L2_Advanced	15	NumeralNoun	Female	44
831	L521	L2_Advanced	1	NumeralNoun	Female	21
832	L522	L2_Advanced	3	NumeralNoun	Female	21
833	L523	L2_Advanced	4	NumeralNoun	Female	21
835	L525	L2_Advanced	8	NumeralNoun	Female	21
837	L527	L2_Advanced	11	NumeralNoun	Female	21
838	L528	L2_Advanced	12	NumeralNoun	Female	21
839	L529	L2_Advanced	13	NumeralNoun	Female	21
840	L530	L2_Advanced	15	NumeralNoun	Female	21
841	L531	L2_Advanced	1	NumeralNoun	Female	53
842	L532	L2_Advanced	3	NumeralNoun	Female	53
843	L533	L2_Advanced	4	NumeralNoun	Female	53
845	L535	L2_Advanced	8	NumeralNoun	Female	53
847	L537	L2_Advanced	11	NumeralNoun	Female	53
848	L538	L2_Advanced	12	NumeralNoun	Female	53
850	L540	L2_Advanced	15	NumeralNoun	Female	53
851	L541	L2_Advanced	1	NumeralNoun	Female	46
853	L543	L2_Advanced	4	NumeralNoun	Female	46
855	L545	L2_Advanced	8	NumeralNoun	Female	46
858	L548	L2_Advanced	12	NumeralNoun	Female	46
860	L550	L2_Advanced	15	NumeralNoun	Female	46
861	E001	English_Mono	1	NumeralNoun	Female	30
862	E002	English_Mono	3	NumeralNoun	Female	30
863	E003	English_Mono	4	NumeralNoun	Female	30
865	E005	English_Mono	8	NumeralNoun	Female	30
868	E008	English_Mono	12	NumeralNoun	Female	30
869	E009	English_Mono	13	NumeralNoun	Female	30
870	E010	English_Mono	15	NumeralNoun	Female	30
872	E012	English_Mono	3	NumeralNoun	Female	24
875	E015	English_Mono	8	NumeralNoun	Female	24
881	E021	English_Mono	1	NumeralNoun	Female	67
882	E022	English_Mono	3	NumeralNoun	Female	67
883	E023	English_Mono	4	NumeralNoun	Female	67
885	E025	English_Mono	8	NumeralNoun	Female	67
888	E028	English_Mono	12	NumeralNoun	Female	67
889	E029	English_Mono	13	NumeralNoun	Female	67
890	E030	English_Mono	15	NumeralNoun	Female	67
891	E031	English_Mono	1	NumeralNoun	Male	20
892	E032	English_Mono	3	NumeralNoun	Male	20
893	E033	English_Mono	4	NumeralNoun	Male	20
895	E035	English_Mono	8	NumeralNoun	Male	20
898	E038	English_Mono	12	NumeralNoun	Male	20
899	E039	English_Mono	13	NumeralNoun	Male	20
900	E040	English_Mono	15	NumeralNoun	Male	20
901	E041	English_Mono	1	NumeralNoun	Female	19
902	E042	English_Mono	3	NumeralNoun	Female	19
903	E043	English_Mono	4	NumeralNoun	Female	19
908	E048	English_Mono	12	NumeralNoun	Female	19
909	E049	English_Mono	13	NumeralNoun	Female	19
912	E052	English_Mono	3	NumeralNoun	Male	69
913	E053	English_Mono	4	NumeralNoun	Male	69
915	E055	English_Mono	8	NumeralNoun	Male	69
918	E058	English_Mono	12	NumeralNoun	Male	69
919	E059	English_Mono	13	NumeralNoun	Male	69
920	E060	English_Mono	15	NumeralNoun	Male	69
931	E071	English_Mono	1	NumeralNoun	Female	20
932	E072	English_Mono	3	NumeralNoun	Female	20
933	E073	English_Mono	4	NumeralNoun	Female	20
934	E074	English_Mono	6	NumeralNoun	Female	20
937	E077	English_Mono	11	NumeralNoun	Female	20
938	E078	English_Mono	12	NumeralNoun	Female	20
939	E079	English_Mono	13	NumeralNoun	Female	20
941	E081	English_Mono	1	NumeralNoun	Female	24
942	E082	English_Mono	3	NumeralNoun	Female	24
943	E083	English_Mono	4	NumeralNoun	Female	24
945	E085	English_Mono	8	NumeralNoun	Female	24
948	E088	English_Mono	12	NumeralNoun	Female	24
949	E089	English_Mono	13	NumeralNoun	Female	24
950	E090	English_Mono	15	NumeralNoun	Female	24
951	E091	English_Mono	1	NumeralNoun	Female	31
952	E092	English_Mono	3	NumeralNoun	Female	31
953	E093	English_Mono	4	NumeralNoun	Female	31
958	E098	English_Mono	12	NumeralNoun	Female	31
959	E099	English_Mono	13	NumeralNoun	Female	31
961	E101	English_Mono	1	NumeralNoun	Female	28
962	E102	English_Mono	3	NumeralNoun	Female	28
963	E103	English_Mono	4	NumeralNoun	Female	28
965	E105	English_Mono	8	NumeralNoun	Female	28
968	E108	English_Mono	12	NumeralNoun	Female	28
969	E109	English_Mono	13	NumeralNoun	Female	28
971	E111	English_Mono	1	NumeralNoun	Female	25
972	E112	English_Mono	3	NumeralNoun	Female	25
973	E113	English_Mono	4	NumeralNoun	Female	25
975	E115	English_Mono	8	NumeralNoun	Female	25
978	E118	English_Mono	12	NumeralNoun	Female	25
979	E119	English_Mono	13	NumeralNoun	Female	25
981	E121	English_Mono	1	NumeralNoun	Female	20
982	E122	English_Mono	3	NumeralNoun	Female	20
983	E123	English_Mono	4	NumeralNoun	Female	20
985	E125	English_Mono	8	NumeralNoun	Female	20
988	E128	English_Mono	12	NumeralNoun	Female	20
989	E129	English_Mono	13	NumeralNoun	Female	20
990	E130	English_Mono	15	NumeralNoun	Female	20
991	E131	English_Mono	1	NumeralNoun	Female	18
993	E133	English_Mono	4	NumeralNoun	Female	18
995	E135	English_Mono	8	NumeralNoun	Female	18
997	E137	English_Mono	11	NumeralNoun	Female	18
998	E138	English_Mono	12	NumeralNoun	Female	18
999	E139	English_Mono	13	NumeralNoun	Female	18
1000	E140	English_Mono	15	NumeralNoun	Female	18
1001	E141	English_Mono	1	NumeralNoun	Male	26
1002	E142	English_Mono	3	NumeralNoun	Male	26
1003	E143	English_Mono	4	NumeralNoun	Male	26
1005	E145	English_Mono	8	NumeralNoun	Male	26
1008	E148	English_Mono	12	NumeralNoun	Male	26
1009	E149	English_Mono	13	NumeralNoun	Male	26
1010	E150	English_Mono	15	NumeralNoun	Male	26
1011	E151	English_Mono	1	NumeralNoun	Female	20
1012	E152	English_Mono	3	NumeralNoun	Female	20
1013	E153	English_Mono	4	NumeralNoun	Female	20
1015	E155	English_Mono	8	NumeralNoun	Female	20
1018	E158	English_Mono	12	NumeralNoun	Female	20
1019	E159	English_Mono	13	NumeralNoun	Female	20
1020	E160	English_Mono	15	NumeralNoun	Female	20
1021	E161	English_Mono	1	NumeralNoun	Female	19
1022	E162	English_Mono	3	NumeralNoun	Female	19
1023	E163	English_Mono	4	NumeralNoun	Female	19
1025	E165	English_Mono	8	NumeralNoun	Female	19
1028	E168	English_Mono	12	NumeralNoun	Female	19
1029	E169	English_Mono	13	NumeralNoun	Female	19
1031	E171	English_Mono	1	NumeralNoun	Male	24
1032	E172	English_Mono	3	NumeralNoun	Male	24
1033	E173	English_Mono	4	NumeralNoun	Male	24
1038	E178	English_Mono	12	NumeralNoun	Male	24
1039	E179	English_Mono	13	NumeralNoun	Male	24
1041	E181	English_Mono	1	NumeralNoun	Female	30
1042	E182	English_Mono	3	NumeralNoun	Female	30
1043	E183	English_Mono	4	NumeralNoun	Female	30
1045	E185	English_Mono	8	NumeralNoun	Female	30
1048	E188	English_Mono	12	NumeralNoun	Female	30
1049	E189	English_Mono	13	NumeralNoun	Female	30
1050	E190	English_Mono	15	NumeralNoun	Female	30
1052	E192	English_Mono	3	NumeralNoun	Female	29
1058	E198	English_Mono	12	NumeralNoun	Female	29
1059	E199	English_Mono	13	NumeralNoun	Female	29
1061	E201	English_Mono	1	NumeralNoun	Male	24
1062	E202	English_Mono	3	NumeralNoun	Male	24
1063	E203	English_Mono	4	NumeralNoun	Male	24
1065	E205	English_Mono	8	NumeralNoun	Male	24
1068	E208	English_Mono	12	NumeralNoun	Male	24
1069	E209	English_Mono	13	NumeralNoun	Male	24
1071	E211	English_Mono	1	NumeralNoun	Male	28
1072	E212	English_Mono	3	NumeralNoun	Male	28
1073	E213	English_Mono	4	NumeralNoun	Male	28
1075	E215	English_Mono	8	NumeralNoun	Male	28
1078	E218	English_Mono	12	NumeralNoun	Male	28
1079	E219	English_Mono	13	NumeralNoun	Male	28
1080	E220	English_Mono	15	NumeralNoun	Male	28
1082	E222	English_Mono	3	NumeralNoun	Male	24
1083	E223	English_Mono	4	NumeralNoun	Male	24
1085	E225	English_Mono	8	NumeralNoun	Male	24
1090	E230	English_Mono	15	NumeralNoun	Male	24
25	G025	German_Mono	8	QuantNoun	Female	19
75	G075	German_Mono	8	QuantNoun	Female	19
130	G130	German_Mono	15	QuantNoun	Female	18
194	G194	German_Mono	6	QuantNoun	Female	19
350	L040	L2_Intermediate	15	QuantNoun	Male	23
390	L080	L2_Intermediate	15	QuantNoun	Female	18
395	L085	L2_Intermediate	8	QuantNoun	Female	21
400	L090	L2_Intermediate	15	QuantNoun	Female	21
415	L105	L2_Intermediate	8	QuantNoun	Female	23
420	L110	L2_Intermediate	15	QuantNoun	Female	23
435	L125	L2_Intermediate	8	QuantNoun	Male	22
520	L210	L2_Intermediate	15	QuantNoun	Female	30
525	L215	L2_Advanced	8	QuantNoun	Male	48
584	L274	L2_Advanced	6	QuantNoun	Male	74
586	L276	L2_Advanced	9	QuantNoun	Male	74
595	L285	L2_Advanced	8	QuantNoun	Female	20
600	L290	L2_Advanced	15	QuantNoun	Female	20
625	L315	L2_Advanced	8	QuantNoun	Female	24
635	L325	L2_Advanced	8	QuantNoun	Female	39
639	L329	L2_Advanced	13	QuantNoun	Female	39
640	L330	L2_Advanced	15	QuantNoun	Female	39
647	L337	L2_Advanced	11	QuantNoun	Male	24
665	L355	L2_Advanced	8	QuantNoun	Male	23
700	L390	L2_Advanced	15	QuantNoun	Female	27
705	L395	L2_Advanced	8	QuantNoun	Female	41
724	L414	L2_Advanced	6	QuantNoun	Male	25
815	L505	L2_Advanced	8	QuantNoun	Female	50
819	L509	L2_Advanced	13	QuantNoun	Female	50
820	L510	L2_Advanced	15	QuantNoun	Female	50
849	L539	L2_Advanced	13	QuantNoun	Female	53
852	L542	L2_Advanced	3	QuantNoun	Female	46
992	E132	English_Mono	3	QuantNoun	Female	18
1030	E170	English_Mono	15	QuantNoun	Female	19
1070	E210	English_Mono	15	QuantNoun	Male	24
4	G004	German_Mono	6	QuantAdjNoun	Male	18
6	G006	German_Mono	9	QuantAdjNoun	Male	18
24	G024	German_Mono	6	QuantAdjNoun	Female	19
26	G026	German_Mono	9	QuantAdjNoun	Female	19
27	G027	German_Mono	11	QuantAdjNoun	Female	19
44	G044	German_Mono	6	QuantAdjNoun	Female	19
64	G064	German_Mono	6	QuantAdjNoun	Female	19
74	G074	German_Mono	6	QuantAdjNoun	Female	19
104	G104	German_Mono	6	QuantAdjNoun	Female	25
105	G105	German_Mono	8	QuantAdjNoun	Female	25
124	G124	German_Mono	6	QuantAdjNoun	Female	18
126	G126	German_Mono	9	QuantAdjNoun	Female	18
166	G166	German_Mono	9	QuantAdjNoun	Female	19
175	G175	German_Mono	8	QuantAdjNoun	Female	20
244	G244	German_Mono	6	QuantAdjNoun	Female	21
254	G254	German_Mono	6	QuantAdjNoun	Female	20
274	G274	German_Mono	6	QuantAdjNoun	Female	22
284	G284	German_Mono	6	QuantAdjNoun	Female	19
315	L005	L2_Intermediate	8	QuantAdjNoun	Male	22
320	L010	L2_Intermediate	15	QuantAdjNoun	Male	22
325	L015	L2_Intermediate	8	QuantAdjNoun	Female	22
326	L016	L2_Intermediate	9	QuantAdjNoun	Female	22
335	L025	L2_Intermediate	8	QuantAdjNoun	Female	23
346	L036	L2_Intermediate	9	QuantAdjNoun	Male	23
384	L074	L2_Intermediate	6	QuantAdjNoun	Female	18
386	L076	L2_Intermediate	9	QuantAdjNoun	Female	18
424	L114	L2_Intermediate	6	QuantAdjNoun	Male	21
426	L116	L2_Intermediate	9	QuantAdjNoun	Male	21
436	L126	L2_Intermediate	9	QuantAdjNoun	Male	22
440	L130	L2_Intermediate	15	QuantAdjNoun	Male	22
444	L134	L2_Intermediate	6	QuantAdjNoun	Female	22
446	L136	L2_Intermediate	9	QuantAdjNoun	Female	22
464	L154	L2_Intermediate	6	QuantAdjNoun	Male	42
466	L156	L2_Intermediate	9	QuantAdjNoun	Male	42
476	L166	L2_Intermediate	9	QuantAdjNoun	Male	67
506	L196	L2_Intermediate	9	QuantAdjNoun	Female	23
524	L214	L2_Advanced	6	QuantAdjNoun	Male	48
526	L216	L2_Advanced	9	QuantAdjNoun	Male	48
536	L226	L2_Advanced	9	QuantAdjNoun	Female	26
544	L234	L2_Advanced	6	QuantAdjNoun	Male	76
546	L236	L2_Advanced	9	QuantAdjNoun	Male	76
565	L255	L2_Advanced	8	QuantAdjNoun	Male	26
566	L256	L2_Advanced	9	QuantAdjNoun	Male	26
594	L284	L2_Advanced	6	QuantAdjNoun	Female	20
596	L286	L2_Advanced	9	QuantAdjNoun	Female	20
597	L287	L2_Advanced	11	QuantAdjNoun	Female	20
605	L295	L2_Advanced	8	QuantAdjNoun	Female	65
624	L314	L2_Advanced	6	QuantAdjNoun	Female	24
626	L316	L2_Advanced	9	QuantAdjNoun	Female	24
644	L334	L2_Advanced	6	QuantAdjNoun	Male	24
646	L336	L2_Advanced	9	QuantAdjNoun	Male	24
650	L340	L2_Advanced	15	QuantAdjNoun	Male	24
654	L344	L2_Advanced	6	QuantAdjNoun	Female	20
664	L354	L2_Advanced	6	QuantAdjNoun	Male	23
674	L364	L2_Advanced	6	QuantAdjNoun	Female	34
676	L366	L2_Advanced	9	QuantAdjNoun	Female	34
684	L374	L2_Advanced	6	QuantAdjNoun	Female	44
694	L384	L2_Advanced	6	QuantAdjNoun	Female	27
696	L386	L2_Advanced	9	QuantAdjNoun	Female	27
714	L404	L2_Advanced	6	QuantAdjNoun	Male	28
715	L405	L2_Advanced	8	QuantAdjNoun	Male	28
716	L406	L2_Advanced	9	QuantAdjNoun	Male	28
718	L408	L2_Advanced	12	QuantAdjNoun	Male	28
736	L426	L2_Advanced	9	QuantAdjNoun	Male	22
745	L435	L2_Advanced	8	QuantAdjNoun	Female	50
746	L436	L2_Advanced	9	QuantAdjNoun	Female	50
750	L440	L2_Advanced	15	QuantAdjNoun	Female	50
754	L444	L2_Advanced	6	QuantAdjNoun	Male	72
756	L446	L2_Advanced	9	QuantAdjNoun	Male	72
757	L447	L2_Advanced	11	QuantAdjNoun	Male	72
784	L474	L2_Advanced	6	QuantAdjNoun	Female	44
786	L476	L2_Advanced	9	QuantAdjNoun	Female	44
787	L477	L2_Advanced	11	QuantAdjNoun	Female	44
789	L479	L2_Advanced	13	QuantAdjNoun	Female	44
806	L496	L2_Advanced	9	QuantAdjNoun	Female	73
816	L506	L2_Advanced	9	QuantAdjNoun	Female	50
826	L516	L2_Advanced	9	QuantAdjNoun	Female	44
844	L534	L2_Advanced	6	QuantAdjNoun	Female	53
846	L536	L2_Advanced	9	QuantAdjNoun	Female	53
864	E004	English_Mono	6	QuantAdjNoun	Female	30
866	E006	English_Mono	9	QuantAdjNoun	Female	30
867	E007	English_Mono	11	QuantAdjNoun	Female	30
871	E011	English_Mono	1	QuantAdjNoun	Female	24
876	E016	English_Mono	9	QuantAdjNoun	Female	24
879	E019	English_Mono	13	QuantAdjNoun	Female	24
880	E020	English_Mono	15	QuantAdjNoun	Female	24
884	E024	English_Mono	6	QuantAdjNoun	Female	67
886	E026	English_Mono	9	QuantAdjNoun	Female	67
894	E034	English_Mono	6	QuantAdjNoun	Male	20
896	E036	English_Mono	9	QuantAdjNoun	Male	20
897	E037	English_Mono	11	QuantAdjNoun	Male	20
904	E044	English_Mono	6	QuantAdjNoun	Female	19
905	E045	English_Mono	8	QuantAdjNoun	Female	19
906	E046	English_Mono	9	QuantAdjNoun	Female	19
907	E047	English_Mono	11	QuantAdjNoun	Female	19
910	E050	English_Mono	15	QuantAdjNoun	Female	19
911	E051	English_Mono	1	QuantAdjNoun	Male	69
916	E056	English_Mono	9	QuantAdjNoun	Male	69
921	E061	English_Mono	1	QuantAdjNoun	Male	18
922	E062	English_Mono	3	QuantAdjNoun	Male	18
924	E064	English_Mono	6	QuantAdjNoun	Male	18
925	E065	English_Mono	8	QuantAdjNoun	Male	18
926	E066	English_Mono	9	QuantAdjNoun	Male	18
